id,title,url,path,primaryartist_id,primaryartist_name
151359,Touch,https://genius.com/Daft-punk-touch-lyrics,/Daft-punk-touch-lyrics,13585,Daft Punk
379183,Daft Punk - Touch (ft. Paul Williams) (Traduction Française),https://genius.com/Genius-traductions-francaises-daft-punk-touch-ft-paul-williams-traduction-francaise-lyrics,/Genius-traductions-francaises-daft-punk-touch-ft-paul-williams-traduction-francaise-lyrics,140856,Genius Traductions Françaises
5493250,I Remember,https://genius.com/Touchmoney-cease-i-remember-lyrics,/Touchmoney-cease-i-remember-lyrics,2168444,Touchmoney Cease
5135829,Look At They Face,https://genius.com/Key-glock-look-at-they-face-lyrics,/Key-glock-look-at-they-face-lyrics,1158427,Key Glock
1800346,Still In Love,https://genius.com/Jahkoy-still-in-love-lyrics,/Jahkoy-still-in-love-lyrics,187600,JAHKOY
2435572,Your Lasting Image,https://genius.com/Into-it-over-it-your-lasting-image-lyrics,/Into-it-over-it-your-lasting-image-lyrics,365010,Into It. Over It.
2900567,December in Windsor,https://genius.com/Woods-of-ypres-december-in-windsor-lyrics,/Woods-of-ypres-december-in-windsor-lyrics,344551,Woods of Ypres
1039319,Touch and Go  (Bonus Track),https://genius.com/Melissa-etheridge-touch-and-go-bonus-track-lyrics,/Melissa-etheridge-touch-and-go-bonus-track-lyrics,40112,Melissa Etheridge
4037813,Linen Sheets,https://genius.com/Steiner-and-madlaina-linen-sheets-lyrics,/Steiner-and-madlaina-linen-sheets-lyrics,1611448,Steiner & Madlaina
