id,title,url,path,primaryartist_id,primaryartist_name
95315,The Legend of Sleepy Hollow,https://genius.com/Washington-irving-the-legend-of-sleepy-hollow-annotated,/Washington-irving-the-legend-of-sleepy-hollow-annotated,27263,Washington Irving
158237,"The Sketch Book of Geoffrey Crayon, Gent. (Chap. 32)",https://genius.com/Washington-irving-the-sketch-book-of-geoffrey-crayon-gent-chap-32-annotated,/Washington-irving-the-sketch-book-of-geoffrey-crayon-gent-chap-32-annotated,27263,Washington Irving
151226,Finnegans Wake (Chap. 4.1),https://genius.com/James-joyce-finnegans-wake-chap-41-annotated,/James-joyce-finnegans-wake-chap-41-annotated,22971,James Joyce
