id,title,url,path,primaryartist_id,primaryartist_name
773149,Viva La Quinta Brigada,https://genius.com/Christy-moore-viva-la-quinta-brigada-lyrics,/Christy-moore-viva-la-quinta-brigada-lyrics,348247,Christy Moore
1966257,Vive La Quinte Brigada,https://genius.com/Christy-moore-vive-la-quinte-brigada-lyrics,/Christy-moore-vive-la-quinte-brigada-lyrics,348247,Christy Moore
3758636,Va la Quinta Brigada,https://genius.com/The-dubliners-va-la-quinta-brigada-lyrics,/The-dubliners-va-la-quinta-brigada-lyrics,52941,The Dubliners
